"bestand","pagina"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-vo-per-vestiging-en-bestuur-(vavo-apart)-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.-leerlingen-vo-per-vestiging-en-bestuur-(vavo-apart)-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-3.jsp"
"https://www.duo.nl/open_onderwijsdata/images/03.leerlingen-bo-sbo-swv-vestiging%2C-leerjaar%2C-geslacht-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/bo-leerjaar.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-alle-vestigingen-speciaal-(basis)onderwijs.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/adressen/adressen-po-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-bo-sbo-schooladviezen-2011-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/schooladviezen.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-bo-sbo-schooladviezen-2012-2013.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/schooladviezen.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-bo-sbo-schooladviezen-2013-2014.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/schooladviezen.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-per-bestuur-en-denominatie-(vavo-apart)-2011.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-per-bestuur-en-denominatie-(vavo-apart)-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-per-bestuur-en-denominatie-(vavo-apart)-2013-2014.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-per-bestuur-en-denominatie-(vavo-apart)-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-per-bestuur-en-denominatie-(vavo-apart)-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-po-per-gemeente-schoolgaand-in-en-buiten-de-gemeente-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/Leerlingen-po-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-po-per-gemeente-schoolgaand-in-en-buiten-de-gemeente-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/Leerlingen-po-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-vso-swv-betalend%2C-onderscheid-rp%2C-uitstroomprofielen-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/so-vso/so-vso-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-leerlingen-vso-swv-betalend%2C-onderscheid-rp%2C-uitstroomprofielen-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/so-vso/so-vso-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-samenwerkingsverbanden-passend-onderwijs-vo.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/adressen/adressen-vo-4.jsp"
"https://www.duo.nl/open_onderwijsdata/images/04.-schooladvies-bo-sbo-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/schooladviezen.jsp"
"https://www.duo.nl/open_onderwijsdata/images/05.-bevoegde-gezagen-basisonderwijs.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/adressen/adressen-po-5.jsp"
"https://www.duo.nl/open_onderwijsdata/images/05.-gemiddelde-eindscores-bo-sbo-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/bo-sbo-eindscores.jsp"
"https://www.duo.nl/open_onderwijsdata/images/05.-instellingen-per-samenwerkingsverband-passend-onderwijs-vo.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/adressen/adressen-vo-5.jsp"
"https://www.duo.nl/open_onderwijsdata/images/05.-leerlingen-vo-per-samenwerkingsverband-en-onderwijstype-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-5.jsp"
"https://www.duo.nl/open_onderwijsdata/images/05.-leerlingen-vso-swv-betalend%2C-swv-woonachtig-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/so-vso/so-vso-5.js"
"https://www.duo.nl/open_onderwijsdata/images/05.-leerlingen-vso-swv-betalend%2C-swv-woonachtig-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/so-vso/so-vso-5.jsp"
"https://www.duo.nl/open_onderwijsdata/images/06.-besturen-swv-en-passend-onderwijs.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/adressen/adressen-vo-6.jsp"
"https://www.duo.nl/open_onderwijsdata/images/06.-bevoegde-gezagen-speciaal-(basis)onderwijs.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/adressen/adressen-po-6.jsp"
"https://www.duo.nl/open_onderwijsdata/images/06.-examenkandidaten-en-geslaagden-2010-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-6.jsp"
"https://www.duo.nl/open_onderwijsdata/images/06.-leerlingen-bo-sbo-swv-vestiging%2C-swv-woonachtig-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/bo-sbo-swvvest-swvwoon.jsp"
"https://www.duo.nl/open_onderwijsdata/images/06.-leerlingen-bo-sbo-swv-vestiging%2C-swv-woonachtig-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/bo-sbo-swvvest-swvwoon.jsp"
"https://www.duo.nl/open_onderwijsdata/images/07.-bevoegde-gezagen-basisonderwijs-en-speciaal-(basis)onderwijs.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/adressen/adressen-po-7.jsp"
"https://www.duo.nl/open_onderwijsdata/images/07.-geslaagden%2C-gezakten-en-cijfers-2010-2011.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-7.jsp"
"https://www.duo.nl/open_onderwijsdata/images/07.-geslaagden%2C-gezakten-en-cijfers-2011-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-7.jsp"
"https://www.duo.nl/open_onderwijsdata/images/07.-geslaagden%2C-gezakten-en-cijfers-2012-2013.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-7.jsp"
"https://www.duo.nl/open_onderwijsdata/images/07.-geslaagden%2C-gezakten-en-cijfers-2013-2014.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-7.jsp"
"https://www.duo.nl/open_onderwijsdata/images/07.-geslaagden%2C-gezakten-en-cijfers-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-7.jsp"
"https://www.duo.nl/open_onderwijsdata/images/08.-examenkandidaten-vmbo-en-examencijfers-2010-2011.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-8.jsp"
"https://www.duo.nl/open_onderwijsdata/images/08.-examenkandidaten-vmbo-en-examencijfers-2011-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-8.jsp"
"https://www.duo.nl/open_onderwijsdata/images/08.-examenkandidaten-vmbo-en-examencijfers-2012-2013.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-8.jsp"
"https://www.duo.nl/open_onderwijsdata/images/08.-examenkandidaten-vmbo-en-examencijfers-2013-2014-.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-8.jsp"
"https://www.duo.nl/open_onderwijsdata/images/08.-examenkandidaten-vmbo-en-examencijfers-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-8.jsp"
"https://www.duo.nl/open_onderwijsdata/images/08.-samenwerkingsverbanden-passend-onderwijs-po.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/adressen/adressen-po-8.jsp"
"https://www.duo.nl/open_onderwijsdata/images/09.-examenkandidaten-havo-en-examencijfers-2010-2011.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-9.jsp"
"https://www.duo.nl/open_onderwijsdata/images/09.-examenkandidaten-havo-en-examencijfers-2011-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-9.jsp"
"https://www.duo.nl/open_onderwijsdata/images/09.-examenkandidaten-havo-en-examencijfers-2012-2013.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-9.jsp"
"https://www.duo.nl/open_onderwijsdata/images/09.-examenkandidaten-havo-en-examencijfers-2013-2014.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-9.jsp"
"https://www.duo.nl/open_onderwijsdata/images/09.-examenkandidaten-havo-en-examencijfers-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-9.jsp"
"https://www.duo.nl/open_onderwijsdata/images/09.-instellingen-per-samenwerkingsverband-passend-onderwijs-po.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/adressen/adressen-po-9.jsp"
"https://www.duo.nl/open_onderwijsdata/images/09.-leerlingen-bo-zittenblijven-2012-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/leerlingen-po/bo-sbo/zittenblijven.jsp"
"https://www.duo.nl/open_onderwijsdata/images/10.-besturen-swv-en-passend-onderwijs.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/adressen/adressen-po-10.jsp"
"https://www.duo.nl/open_onderwijsdata/images/10.-examenkandidaten-vwo-en-examencijfers-2010-2011.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-10.jsp"
"https://www.duo.nl/open_onderwijsdata/images/10.-examenkandidaten-vwo-en-examencijfers-2011-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-10.jsp"
"https://www.duo.nl/open_onderwijsdata/images/10.-examenkandidaten-vwo-en-examencijfers-2012-2013.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-10.jsp"
"https://www.duo.nl/open_onderwijsdata/images/10.-examenkandidaten-vwo-en-examencijfers-2013-2014-.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-10.jsp"
"https://www.duo.nl/open_onderwijsdata/images/10.-examenkandidaten-vwo-en-examencijfers-2014-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-10.jsp"
"https://www.duo.nl/open_onderwijsdata/images/13.-toegestaan-onderwijs-2015.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/Leerlingen/leerlingen-vo-13.jsp"
